"year","month","date","time","arrival","time_of_day","count","guild","species","action","num_destroyed","weather","altitude","cover_type"
2018,"January",2018-01-09,1899-12-31 15:05:00,NA,"Afternoon",9,"Raven","Common Raven","Observed",0,"Clear",NA,"taxiway"
2018,"January",2018-01-10,1899-12-31 15:00:00,NA,"Afternoon",9,"Raven","Common Raven","Physical Harassment",0,"Snow",NA,"runway"
2018,"January",2018-01-10,1899-12-31 15:00:00,NA,"Afternoon",9,"Raven","Common Raven","Observed",0,"Clear",NA,"taxiway"
2018,"January",2018-01-10,1899-12-31 15:00:00,NA,"Afternoon",1,"Raven","Common Raven","Observed",0,"Clear",NA,"runway"
2018,"Febuary",2018-02-15,1899-12-31 13:10:00,NA,"Afternoon",6,"Raven","Common Raven","Physical Harassment",0,"Snow",NA,"taxiway"
2018,"Febuary",2018-02-15,1899-12-31 13:10:00,NA,"Afternoon",6,"Raven","Common Raven","Observed",0,"Clear",NA,"taxiway"
2018,"Febuary",2018-02-20,1899-12-31 13:55:00,NA,"Afternoon",2,"Raven","Common Raven","Physical Harassment",0,"Snow",NA,"taxiway"
2018,"Febuary",2018-02-20,1899-12-31 13:55:00,NA,"Afternoon",2,"Raven","Common Raven","Observed",0,"Clear",NA,"taxiway"
2018,"March",2018-03-19,1899-12-31 14:15:00,NA,"Afternoon",3,"Raven","Common Raven","Physical Harassment",0,"Snow",NA,"taxiway"
2018,"March",2018-03-19,1899-12-31 14:15:00,NA,"Afternoon",3,"Raven","Common Raven","Observed",0,"Clear",NA,"taxiway"
2018,"April",2018-04-26,1899-12-31 09:00:00,1,"Morning",2,"Raptor","Bald Eagle","Observed",0,"Clear",NA,"woodland"
2018,"April",2018-04-26,1899-12-31 08:30:00,1,"Morning",3,"Goose spp.","Canada Goose","Observed",0,"Clear","51-100","runway"
2018,"April",2018-04-26,1899-12-31 10:00:00,1,"Morning",2,"Gull spp.","Mew Gull","Observed",0,"Clear",NA,"structure"
2018,"April",2018-04-27,1899-12-31 10:34:00,1,"Morning",8,"Goose spp.","Canada Goose","Observed",0,"Clear","51-100","snow"
2018,"April",2018-04-27,1899-12-31 07:26:00,1,"Morning",2,"Duck spp.","Mallard","Observed",0,"Clear","0-50","river"
2018,"April",2018-04-27,1899-12-31 10:00:00,1,"Morning",1,"Raptor","Osprey","Nest Removal",0,"Clear",NA,"woodland"
2018,"April",2018-04-30,1899-12-31 09:50:00,1,"Morning",12,"Duck spp.","Dabbling Duck spp.","Observed",0,"Clear",NA,"taxiway"
2018,"April",2018-04-30,1899-12-31 09:55:00,1,"Morning",12,"Duck spp.","Dabbling Duck spp.","Observed",0,"Clear",NA,"taxiway"
2018,"April",2018-04-30,1899-12-31 15:15:00,1,"Afternoon",18,"Duck spp.","Dabbling Duck spp.","Observed",0,"Clear",NA,"taxiway"
2018,"April",2018-04-30,1899-12-31 15:20:00,1,"Afternoon",12,"Duck spp.","Dabbling Duck spp.","Observed",0,"Clear",NA,"taxiway"
2018,"April",2018-04-30,1899-12-31 09:55:00,1,"Morning",4,"Goose spp.","Goose spp.","Observed",0,"Clear",NA,"taxiway"
2018,"May",2018-05-01,1899-12-31 17:00:00,1,"Evening",12,"Duck spp.","Dabbling Duck spp.","Observed",0,"Clear",NA,"taxiway"
2018,"May",2018-05-01,1899-12-31 17:00:00,1,"Evening",10,"Goose spp.","Goose spp.","Observed",0,"Clear",NA,"taxiway"
2018,"May",2018-05-02,1899-12-31 12:40:00,1,"Afternoon",12,"Duck spp.","Dabbling Duck spp.","Observed",0,"Clear",NA,"taxiway"
2018,"May",2018-05-02,1899-12-31 07:40:00,1,"Morning",15,"Duck spp.","Dabbling Duck spp.","Observed",0,"Clear",NA,"runway"
2018,"May",2018-05-02,1899-12-31 12:40:00,1,"Afternoon",10,"Duck spp.","Goose spp.","Observed",0,"Clear",NA,"taxiway"
2018,"May",2018-05-02,1899-12-31 10:30:00,1,"Morning",6,"Goose spp.","Goose spp.","Observed",0,"Clear",NA,"taxiway"
2018,"May",2018-05-03,1899-12-31 07:20:00,1,"Morning",3,"Gull spp.","Gull spp.","Observed",0,"Clear",NA,"runway"
2018,"May",2018-05-04,1899-12-31 16:00:00,1,"Afternoon",14,"Gull spp.","Mew Gull","Observed",0,"Cloudy",NA,"structure"
2018,"May",2018-05-04,1899-12-31 14:23:00,1,"Afternoon",1,"Raptor","Osprey","Physical Harassment",0,"Cloudy","51-100","structure"
2018,"May",2018-05-04,1899-12-31 11:00:00,1,"Morning",3,"Swan spp.","Tundra Swan","Observed",0,"Cloudy","0-50","taxiway"
2018,"May",2018-05-07,1899-12-31 07:20:00,1,"Morning",3,"Gull spp.","Gull spp.","Physical Harassment",0,"Clear",NA,"none"
2018,"May",2018-05-07,1899-12-31 16:00:00,1,"Afternoon",14,"Gull spp.","Mew Gull","Observed",0,"Cloudy",NA,"structure"
2018,"May",2018-05-07,1899-12-31 10:00:00,1,"Morning",2,"Raptor","Osprey","Observed",0,"Clear",NA,"structure"
2018,"May",2018-05-07,1899-12-31 14:23:00,1,"Afternoon",1,"Raptor","Osprey","Physical Harassment",0,"Cloudy","51-100","woodland"
2018,"May",2018-05-07,1899-12-31 09:15:00,1,"Morning",1,"Mammal","Red Fox","Observed",0,"Clear",NA,"woodland"
2018,"May",2018-05-07,1899-12-31 11:00:00,1,"Morning",3,"Swan spp.","Tundra Swan","Observed",0,"Cloudy","0-50","taxiway"
2018,"May",2018-05-08,1899-12-31 09:00:00,1,"Morning",2,"Duck spp.","Greater Scaup","Observed",0,"Clear",NA,"Small water body"
2018,"May",2018-05-08,1899-12-31 09:00:00,1,"Morning",9,"Shorebird","Lesser Yellowlegs","Observed",0,"Clear",NA,"Small water body"
2018,"May",2018-05-08,1899-12-31 09:00:00,1,"Morning",1,"Duck spp.","Mallard","Observed",0,"Clear",NA,"Small water body"
2018,"May",2018-05-08,1899-12-31 09:00:00,1,"Morning",2,"Duck spp.","Northern Shoveler","Observed",0,"Clear",NA,"Small water body"
2018,"May",2018-05-09,1899-12-31 09:30:00,1,"Morning",6,"Duck spp.","American Wigeon","Observed",0,"Clear",NA,"Large water body"
2018,"May",2018-05-09,1899-12-31 07:13:00,1,"Morning",1,"Duck spp.","Common Goldeneye","Vehicle Hazed",0,"Clear","0-50","Small water body"
2018,"May",2018-05-09,1899-12-31 09:30:00,1,"Morning",2,"Duck spp.","Common Goldeneye","Observed",0,"Clear",NA,"Large water body"
2018,"May",2018-05-09,1899-12-31 09:30:00,1,"Morning",2,"Duck spp.","Green-winged Teal","Observed",0,"Clear",NA,"Large water body"
2018,"May",2018-05-09,1899-12-31 09:30:00,1,"Morning",4,"Shorebird","Lesser Yellowlegs","Observed",0,"Clear",NA,"Large water body"
2018,"May",2018-05-09,1899-12-31 09:30:00,1,"Morning",2,"Duck spp.","Mallard","Observed",0,"Clear",NA,"Large water body"
2018,"May",2018-05-09,1899-12-31 11:00:00,1,"Morning",4,"Gull spp.","Mew Gull","Nest Removal",0,"Clear",NA,"structure"
2018,"May",2018-05-09,1899-12-31 11:00:00,1,"Morning",14,"Gull spp.","Mew Gull","Pyrotechnics",0,"Clear","51-100","structure"
2018,"May",2018-05-09,1899-12-31 11:00:00,1,"Morning",0,"Gull spp.","Mew Gull","Pyrotechnics",0,"Clear","51-100","structure"
2018,"May",2018-05-09,1899-12-31 12:00:00,1,"Afternoon",8,"Gull spp.","Mew Gull","Pyrotechnics",0,"Clear","51-100","structure"
2018,"May",2018-05-09,1899-12-31 12:00:00,1,"Afternoon",0,"Gull spp.","Mew Gull","Pyrotechnics",0,"Clear","51-100","structure"
2018,"May",2018-05-09,1899-12-31 07:00:00,1,"Morning",6,"Gull spp.","Mew Gull","Pyrotechnics",0,"Clear","51-100","structure"
2018,"May",2018-05-09,1899-12-31 07:00:00,1,"Morning",0,"Gull spp.","Mew Gull","Pyrotechnics",0,"Clear","51-100","structure"
2018,"May",2018-05-09,1899-12-31 09:30:00,1,"Morning",3,"Duck spp.","Northern Pintail","Observed",0,"Clear",NA,"Large water body"
2018,"May",2018-05-09,1899-12-31 06:00:00,1,"Morning",2,"Raptor","Osprey","Shooting",2,"Clear",NA,"structure"
2018,"May",2018-05-09,1899-12-31 06:15:00,1,"Morning",1,"Raptor","Osprey","Nest Removal",0,"Clear",NA,"structure"
2018,"May",2018-05-09,1899-12-31 13:00:00,1,"Afternoon",20,"Goose spp.","Snow Goose","Observed",0,"Clear","301-350","woodland"
2018,"May",2018-05-10,1899-12-31 12:30:00,1,"Afternoon",5,"Duck spp.","Dabbling Duck spp.","Physical Harassment",0,"Clear",NA,"none"
2018,"May",2018-05-10,1899-12-31 13:57:00,1,"Afternoon",5,"Duck spp.","Dabbling Duck spp.","Physical Harassment",0,"Clear",NA,"none"
2018,"May",2018-05-10,1899-12-31 12:30:00,1,"Afternoon",8,"Gull spp.","Gull spp.","Physical Harassment",0,"Clear",NA,"none"
2018,"May",2018-05-10,1899-12-31 13:57:00,1,"Afternoon",8,"Gull spp.","Gull spp.","Physical Harassment",0,"Clear",NA,"none"
2018,"May",2018-05-10,1899-12-31 12:30:00,1,"Afternoon",30,"Swallow spp.","Swallow spp.","Physical Harassment",0,"Clear",NA,"none"
2018,"May",2018-05-10,1899-12-31 13:57:00,1,"Afternoon",30,"Swallow spp.","Swallow spp.","Physical Harassment",0,"Clear",NA,"none"
2018,"May",2018-05-11,1899-12-31 10:30:00,1,"Morning",12,"Goose spp.","Canada Goose","Observed",0,"Partly cloudy","151-200","taxiway"
2018,"May",2018-05-11,1899-12-31 13:25:00,1,"Afternoon",6,"Swallow spp.","Cliff Swallow","Observed",0,"Partly cloudy","0-50","taxiway"
2018,"May",2018-05-11,1899-12-31 10:00:00,1,"Morning",2,"Swallow spp.","Cliff Swallow","Observed",0,"Partly cloudy","0-50","runway"
2018,"May",2018-05-11,1899-12-31 09:30:00,1,"Morning",10,"Goose spp.","Goose spp.","Physical Harassment",0,"Clear",NA,"none"
2018,"May",2018-05-11,1899-12-31 07:25:00,1,"Morning",3,"Gull spp.","Gull spp.","Physical Harassment",0,"Clear",NA,"none"
2018,"May",2018-05-11,1899-12-31 14:05:00,1,"Afternoon",4,"Duck spp.","Mallard","Physical Harassment",0,"Partly cloudy","0-50","temporary standing water"
2018,"May",2018-05-11,1899-12-31 15:15:00,1,"Afternoon",8,"Gull spp.","Mew Gull","Physical Harassment",0,"Partly cloudy","0-50","structure"
2018,"May",2018-05-11,1899-12-31 13:00:00,1,"Afternoon",4,"Gull spp.","Mew Gull","Vehicle Hazed",0,"Partly cloudy","0-50","taxiway"
2018,"May",2018-05-14,1899-12-31 10:45:00,1,"Morning",4,"Duck spp.","American Wigeon","Observed",0,"Clear",NA,"Large water body"
2018,"May",2018-05-14,1899-12-31 14:00:00,1,"Afternoon",1,"Swallow spp.","Cliff Swallow","Nest Removal",0,"Clear",NA,"structure"
2018,"May",2018-05-14,1899-12-31 08:15:00,1,"Morning",6,"Swallow spp.","Cliff Swallow","Observed",0,"Clear","0-50","runway"
2018,"May",2018-05-14,1899-12-31 10:45:00,1,"Morning",2,"Duck spp.","Common Goldeneye","Observed",0,"Clear",NA,"Large water body"
2018,"May",2018-05-14,1899-12-31 10:00:00,1,"Morning",12,"Passerine","Lapland Longspur","Vehicle Hazed",0,"Clear","0-50","taxiway"
2018,"May",2018-05-14,1899-12-31 09:00:00,1,"Morning",2,"Gull spp.","Mew Gull","Observed",0,"Clear","51-100","taxiway"
2018,"May",2018-05-14,1899-12-31 09:30:00,1,"Morning",3,"Gull spp.","Mew Gull","Pyrotechnics",0,"Clear","0-50","taxiway"
2018,"May",2018-05-14,1899-12-31 09:40:00,1,"Morning",0,"Gull spp.","Mew Gull","Vehicle Hazed",0,"Clear","0-50","short grass"
2018,"May",2018-05-14,1899-12-31 09:45:00,1,"Morning",0,"Gull spp.","Mew Gull","Pyrotechnics",0,"Clear","0-50","taxiway"
2018,"May",2018-05-14,1899-12-31 10:45:00,1,"Morning",8,"Duck spp.","Northern Pintail","Observed",0,"Clear",NA,"Large water body"
2018,"May",2018-05-14,1899-12-31 08:00:00,1,"Morning",0,"Crane","Sandhill Crane","Vehicle Hazed",0,"Clear","51-100","long grass"
2018,"May",2018-05-14,1899-12-31 07:35:00,1,"Morning",0,"Crane","Sandhill Crane","Pyrotechnics",0,"Clear","0-50","short grass"
2018,"May",2018-05-14,1899-12-31 07:30:00,1,"Morning",4,"Crane","Sandhill Crane","Pyrotechnics",0,"Clear","0-50","short grass"
2018,"May",2018-05-14,1899-12-31 07:40:00,1,"Morning",0,"Crane","Sandhill Crane","Vehicle Hazed",0,"Clear","0-50","short grass"
2018,"May",2018-05-15,1899-12-31 10:30:00,1,"Morning",2,"Duck spp.","American Wigeon","Observed",0,"Clear",NA,"Large water body"
2018,"May",2018-05-15,1899-12-31 10:30:00,1,"Morning",2,"Goose spp.","Canada Goose","Observed",0,"Clear",NA,"Large water body"
2018,"May",2018-05-15,1899-12-31 10:30:00,1,"Morning",2,"Duck spp.","Canvasback","Observed",0,"Clear",NA,"Large water body"
2018,"May",2018-05-15,1899-12-31 09:15:00,1,"Morning",2,"Swallow spp.","Cliff Swallow","Near Miss",0,"Clear","0-50","runway"
2018,"May",2018-05-15,1899-12-31 10:30:00,1,"Morning",1,"Duck spp.","Greater Scaup","Observed",0,"Clear",NA,"Large water body"
2018,"May",2018-05-15,1899-12-31 10:30:00,1,"Morning",1,"Shorebird","Lesser Yellowlegs","Observed",0,"Clear",NA,"Large water body"
2018,"May",2018-05-15,1899-12-31 10:30:00,1,"Morning",2,"Duck spp.","Mallard","Observed",0,"Clear",NA,"Large water body"
2018,"May",2018-05-15,1899-12-31 10:30:00,1,"Morning",2,"Gull spp.","Mew Gull","Observed",0,"Clear",NA,"Large water body"
2018,"May",2018-05-15,1899-12-31 08:30:00,1,"Morning",4,"Gull spp.","Mew Gull","Vehicle Hazed",0,"Clear","51-100","taxiway"
2018,"May",2018-05-15,1899-12-31 07:30:00,1,"Morning",1,"Crane","Sandhill Crane","Pyrotechnics",0,"Clear","0-50","long grass"
2018,"May",2018-05-17,1899-12-31 12:00:00,1,"Afternoon",2,"Swallow spp.","Cliff Swallow","Vehicle Hazed",0,"Partly cloudy","0-50","short grass"
2018,"May",2018-05-17,1899-12-31 10:00:00,1,"Morning",1,"Gull spp.","Mew Gull","Nest Removal",0,"Partly cloudy",NA,"structure"
2018,"May",2018-05-17,1899-12-31 10:00:00,1,"Morning",2,"Gull spp.","Mew Gull","Egg Removal",0,"Partly cloudy",NA,"structure"
2018,"May",2018-05-17,1899-12-31 10:00:00,1,"Morning",2,"Gull spp.","Mew Gull","Physical Harassment",0,"Partly cloudy",NA,"structure"
2018,"May",2018-05-17,1899-12-31 15:00:00,1,"Afternoon",1,"Gull spp.","Mew Gull","Nest Removal",0,"Partly cloudy",NA,"structure"
2018,"May",2018-05-17,1899-12-31 15:00:00,1,"Afternoon",6,"Gull spp.","Mew Gull","Physical Harassment",0,"Partly cloudy","51-100","structure"
2018,"May",2018-05-18,1899-12-31 11:00:00,1,"Morning",1,"Gull spp.","Mew Gull","Nest Removal",0,"Partly cloudy",NA,"structure"
2018,"May",2018-05-18,1899-12-31 11:00:00,1,"Morning",2,"Gull spp.","Mew Gull","Egg Removal",0,"Partly cloudy",NA,"structure"
2018,"May",2018-05-18,1899-12-31 11:00:00,1,"Morning",1,"Gull spp.","Mew Gull","Nest Removal",0,"Partly cloudy",NA,"structure"
2018,"May",2018-05-18,1899-12-31 11:00:00,1,"Morning",3,"Gull spp.","Mew Gull","Egg Removal",0,"Partly cloudy",NA,"structure"
2018,"May",2018-05-18,1899-12-31 11:00:00,1,"Morning",1,"Gull spp.","Mew Gull","Nest Removal",0,"Partly cloudy",NA,"structure"
2018,"May",2018-05-18,1899-12-31 11:00:00,1,"Morning",2,"Gull spp.","Mew Gull","Egg Removal",0,"Partly cloudy",NA,"structure"
2018,"May",2018-05-18,1899-12-31 11:00:00,1,"Morning",1,"Gull spp.","Mew Gull","Nest Removal",0,"Partly cloudy",NA,"structure"
2018,"May",2018-05-18,1899-12-31 11:00:00,1,"Morning",2,"Gull spp.","Mew Gull","Egg Removal",0,"Partly cloudy",NA,"structure"
2018,"May",2018-05-18,1899-12-31 11:10:00,1,"Morning",16,"Gull spp.","Mew Gull","Pyrotechnics",0,"Partly cloudy","0-50","structure"
2018,"May",2018-05-18,1899-12-31 11:10:00,1,"Morning",0,"Gull spp.","Mew Gull","Pyrotechnics",0,"Partly cloudy","51-100","structure"
2018,"May",2018-05-18,1899-12-31 11:15:00,1,"Morning",1,"Gull spp.","Mew Gull","Nest Removal",0,"Partly cloudy",NA,"structure"
2018,"May",2018-05-18,1899-12-31 11:15:00,1,"Morning",2,"Gull spp.","Mew Gull","Egg Removal",0,"Partly cloudy",NA,"structure"
2018,"May",2018-05-18,1899-12-31 10:20:00,1,"Morning",1,"Gull spp.","Mew Gull","Nest Removal",0,"Partly cloudy",NA,"structure"
2018,"May",2018-05-18,1899-12-31 10:20:00,1,"Morning",2,"Gull spp.","Mew Gull","Egg Removal",0,"Partly cloudy",NA,"structure"
2018,"May",2018-05-18,1899-12-31 10:25:00,1,"Morning",8,"Gull spp.","Mew Gull","Pyrotechnics",0,"Partly cloudy","51-100","structure"
2018,"May",2018-05-18,1899-12-31 10:25:00,1,"Morning",0,"Gull spp.","Mew Gull","Pyrotechnics",0,"Partly cloudy","51-100","structure"
