"","year","month","date","time","arrival","time_of_day","count","guild","species","action","num_destroyed","weather","altitude","cover_type"
"1",2018,"January",2018-01-09,1899-12-31 15:05:00,NA,"Afternoon",9,"Raven","Common Raven","Observed",0,"Clear",NA,"taxiway"
"2",2018,"January",2018-01-10,1899-12-31 15:00:00,NA,"Afternoon",9,"Raven","Common Raven","Physical Harassment",0,"Snow",NA,"runway"
"3",2018,"January",2018-01-10,1899-12-31 15:00:00,NA,"Afternoon",9,"Raven","Common Raven","Observed",0,"Clear",NA,"taxiway"
"4",2018,"January",2018-01-10,1899-12-31 15:00:00,NA,"Afternoon",1,"Raven","Common Raven","Observed",0,"Clear",NA,"runway"
"5",2018,"Febuary",2018-02-15,1899-12-31 13:10:00,NA,"Afternoon",6,"Raven","Common Raven","Physical Harassment",0,"Snow",NA,"taxiway"
"6",2018,"Febuary",2018-02-15,1899-12-31 13:10:00,NA,"Afternoon",6,"Raven","Common Raven","Observed",0,"Clear",NA,"taxiway"
"7",2018,"Febuary",2018-02-20,1899-12-31 13:55:00,NA,"Afternoon",2,"Raven","Common Raven","Physical Harassment",0,"Snow",NA,"taxiway"
"8",2018,"Febuary",2018-02-20,1899-12-31 13:55:00,NA,"Afternoon",2,"Raven","Common Raven","Observed",0,"Clear",NA,"taxiway"
"9",2018,"March",2018-03-19,1899-12-31 14:15:00,NA,"Afternoon",3,"Raven","Common Raven","Physical Harassment",0,"Snow",NA,"taxiway"
"10",2018,"March",2018-03-19,1899-12-31 14:15:00,NA,"Afternoon",3,"Raven","Common Raven","Observed",0,"Clear",NA,"taxiway"
"11",2018,"April",2018-04-26,1899-12-31 09:00:00,1,"Morning",2,"Raptor","Bald Eagle","Observed",0,"Clear",NA,"woodland"
"12",2018,"April",2018-04-26,1899-12-31 08:30:00,1,"Morning",3,"Goose spp.","Canada Goose","Observed",0,"Clear","51-100","runway"
"13",2018,"April",2018-04-26,1899-12-31 10:00:00,1,"Morning",2,"Gull spp.","Mew Gull","Observed",0,"Clear",NA,"structure"
"14",2018,"April",2018-04-27,1899-12-31 10:34:00,1,"Morning",8,"Goose spp.","Canada Goose","Observed",0,"Clear","51-100","snow"
"15",2018,"April",2018-04-27,1899-12-31 07:26:00,1,"Morning",2,"Duck spp.","Mallard","Observed",0,"Clear","0-50","river"
"16",2018,"April",2018-04-27,1899-12-31 10:00:00,1,"Morning",1,"Raptor","Osprey","Nest Removal",0,"Clear",NA,"woodland"
"17",2018,"April",2018-04-30,1899-12-31 09:50:00,1,"Morning",12,"Duck spp.","Dabbling Duck spp.","Observed",0,"Clear",NA,"taxiway"
"18",2018,"April",2018-04-30,1899-12-31 09:55:00,1,"Morning",12,"Duck spp.","Dabbling Duck spp.","Observed",0,"Clear",NA,"taxiway"
"19",2018,"April",2018-04-30,1899-12-31 15:15:00,1,"Afternoon",18,"Duck spp.","Dabbling Duck spp.","Observed",0,"Clear",NA,"taxiway"
"20",2018,"April",2018-04-30,1899-12-31 15:20:00,1,"Afternoon",12,"Duck spp.","Dabbling Duck spp.","Observed",0,"Clear",NA,"taxiway"
"21",2018,"April",2018-04-30,1899-12-31 09:55:00,1,"Morning",4,"Goose spp.","Goose spp.","Observed",0,"Clear",NA,"taxiway"
"22",2018,"May",2018-05-01,1899-12-31 17:00:00,1,"Evening",12,"Duck spp.","Dabbling Duck spp.","Observed",0,"Clear",NA,"taxiway"
"23",2018,"May",2018-05-01,1899-12-31 17:00:00,1,"Evening",10,"Goose spp.","Goose spp.","Observed",0,"Clear",NA,"taxiway"
"24",2018,"May",2018-05-02,1899-12-31 12:40:00,1,"Afternoon",12,"Duck spp.","Dabbling Duck spp.","Observed",0,"Clear",NA,"taxiway"
"25",2018,"May",2018-05-02,1899-12-31 07:40:00,1,"Morning",15,"Duck spp.","Dabbling Duck spp.","Observed",0,"Clear",NA,"runway"
"26",2018,"May",2018-05-02,1899-12-31 12:40:00,1,"Afternoon",10,"Duck spp.","Goose spp.","Observed",0,"Clear",NA,"taxiway"
"27",2018,"May",2018-05-02,1899-12-31 10:30:00,1,"Morning",6,"Goose spp.","Goose spp.","Observed",0,"Clear",NA,"taxiway"
"28",2018,"May",2018-05-03,1899-12-31 07:20:00,1,"Morning",3,"Gull spp.","Gull spp.","Observed",0,"Clear",NA,"runway"
"29",2018,"May",2018-05-04,1899-12-31 16:00:00,1,"Afternoon",14,"Gull spp.","Mew Gull","Observed",0,"Cloudy",NA,"structure"
"30",2018,"May",2018-05-04,1899-12-31 14:23:00,1,"Afternoon",1,"Raptor","Osprey","Physical Harassment",0,"Cloudy","51-100","structure"
"31",2018,"May",2018-05-04,1899-12-31 11:00:00,1,"Morning",3,"Swan spp.","Tundra Swan","Observed",0,"Cloudy","0-50","taxiway"
"32",2018,"May",2018-05-07,1899-12-31 07:20:00,1,"Morning",3,"Gull spp.","Gull spp.","Physical Harassment",0,"Clear",NA,"none"
"33",2018,"May",2018-05-07,1899-12-31 16:00:00,1,"Afternoon",14,"Gull spp.","Mew Gull","Observed",0,"Cloudy",NA,"structure"
"34",2018,"May",2018-05-07,1899-12-31 10:00:00,1,"Morning",2,"Raptor","Osprey","Observed",0,"Clear",NA,"structure"
"35",2018,"May",2018-05-07,1899-12-31 14:23:00,1,"Afternoon",1,"Raptor","Osprey","Physical Harassment",0,"Cloudy","51-100","woodland"
"36",2018,"May",2018-05-07,1899-12-31 09:15:00,1,"Morning",1,"Mammal","Red Fox","Observed",0,"Clear",NA,"woodland"
"37",2018,"May",2018-05-07,1899-12-31 11:00:00,1,"Morning",3,"Swan spp.","Tundra Swan","Observed",0,"Cloudy","0-50","taxiway"
"38",2018,"May",2018-05-08,1899-12-31 09:00:00,1,"Morning",2,"Duck spp.","Greater Scaup","Observed",0,"Clear",NA,"Small water body"
"39",2018,"May",2018-05-08,1899-12-31 09:00:00,1,"Morning",9,"Shorebird","Lesser Yellowlegs","Observed",0,"Clear",NA,"Small water body"
"40",2018,"May",2018-05-08,1899-12-31 09:00:00,1,"Morning",1,"Duck spp.","Mallard","Observed",0,"Clear",NA,"Small water body"
"41",2018,"May",2018-05-08,1899-12-31 09:00:00,1,"Morning",2,"Duck spp.","Northern Shoveler","Observed",0,"Clear",NA,"Small water body"
"42",2018,"May",2018-05-09,1899-12-31 09:30:00,1,"Morning",6,"Duck spp.","American Wigeon","Observed",0,"Clear",NA,"Large water body"
"43",2018,"May",2018-05-09,1899-12-31 07:13:00,1,"Morning",1,"Duck spp.","Common Goldeneye","Vehicle Hazed",0,"Clear","0-50","Small water body"
"44",2018,"May",2018-05-09,1899-12-31 09:30:00,1,"Morning",2,"Duck spp.","Common Goldeneye","Observed",0,"Clear",NA,"Large water body"
"45",2018,"May",2018-05-09,1899-12-31 09:30:00,1,"Morning",2,"Duck spp.","Green-winged Teal","Observed",0,"Clear",NA,"Large water body"
"46",2018,"May",2018-05-09,1899-12-31 09:30:00,1,"Morning",4,"Shorebird","Lesser Yellowlegs","Observed",0,"Clear",NA,"Large water body"
"47",2018,"May",2018-05-09,1899-12-31 09:30:00,1,"Morning",2,"Duck spp.","Mallard","Observed",0,"Clear",NA,"Large water body"
"48",2018,"May",2018-05-09,1899-12-31 11:00:00,1,"Morning",4,"Gull spp.","Mew Gull","Nest Removal",0,"Clear",NA,"structure"
"49",2018,"May",2018-05-09,1899-12-31 11:00:00,1,"Morning",14,"Gull spp.","Mew Gull","Pyrotechnics",0,"Clear","51-100","structure"
"50",2018,"May",2018-05-09,1899-12-31 11:00:00,1,"Morning",0,"Gull spp.","Mew Gull","Pyrotechnics",0,"Clear","51-100","structure"
"51",2018,"May",2018-05-09,1899-12-31 12:00:00,1,"Afternoon",8,"Gull spp.","Mew Gull","Pyrotechnics",0,"Clear","51-100","structure"
